Depth,BS,CALI,DENS,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,TEMP,TENS,TVD,V_mud
964.2348,8.5,8.8016,2.3747,101.4,103.1865,0.300193,3.1256,15.8426,13.1109,7.8658,-286.2755,36.8947,1025.457,926.617734,0.785209091
964.3872,8.5,8.7445,2.3825,100.8586,98.7305,0.290704,3.1295,15.7239,13.0536,7.7865,-285.8691,36.8965,1022.1196,926.7595008,0.704190909
964.5396,8.5,8.6959,2.3726,101.7207,101.9648,0.291601,3.0743,15.0717,12.5421,7.5305,-285.3665,36.8983,1019.3629,926.9012669,0.762996364
964.692,8.5,8.6509,2.3532,103.6034,107.4213,0.297109,3.019,14.489,12.0564,7.3019,-284.9096,36.9002,1021.0394,927.0430325,0.862205455
964.8444,8.5,8.6237,2.3334,105.4171,109.4367,0.29988,3.0026,13.9789,11.6189,7.0495,-284.5052,36.902,1027.4822,927.1847976,0.898849091
964.9968,8.5,8.6629,2.317,106.7892,108.41,0.306008,3.0008,13.3713,11.1269,6.731,-284.1243,36.9038,1029.4312,927.3265621,0.880181818
965.1492,8.5,8.7914,2.3067,107.9297,108.7295,0.316317,3.0268,13.0726,10.9199,6.5516,-283.8022,36.9056,1024.5835,927.4683261,0.885990909
965.3016,8.5,8.9452,2.3073,108.8334,108.1589,0.319677,3.0697,13.2048,11.0799,6.5386,-283.507,36.9074,1021.8618,927.6100895,0.875616364
965.454,8.5,8.9782,2.3109,109.3615,107.6419,0.314272,3.1206,13.1955,11.1172,6.4375,-283.1625,36.9093,1026.8212,927.7518524,0.866216364
965.6064,8.5,8.9163,2.3128,109.5646,108.7892,0.321134,3.1557,13.0095,10.9984,6.3005,-282.8458,36.9111,1030.7771,927.8936147,0.887076364
965.7588,8.5,8.9087,2.3142,109.6683,108.6239,0.342444,3.1544,13.1068,11.1023,6.3657,-282.5878,36.9129,1025.1318,928.0353765,0.884070909
965.9112,8.5,8.9504,2.3105,109.7009,105.1251,0.354506,3.1035,13.0531,11.0719,6.4148,-282.264,36.9147,1021.2805,928.1771377,0.820456364
966.0636,8.5,8.985,2.3063,109.8023,104.9376,0.352792,3.0544,12.9529,10.9884,6.3751,-281.8478,36.9165,1022.0745,928.3188984,0.817047273
966.216,8.5,9.0214,2.3032,110.0159,109.0011,0.346471,3.0507,13.1439,11.1255,6.4025,-281.4066,36.9184,1019.8497,928.4606585,0.890929091
966.3684,8.5,9.1048,2.2971,110.1638,113.032,0.342512,3.055,13.3172,11.236,6.4406,-280.9701,36.9202,1020.0214,928.6024181,0.964218182
966.5208,8.5,9.2611,2.2896,110.2197,110.9167,0.343486,3.0222,13.4205,11.2877,6.4433,-280.5609,36.922,1023.2326,928.7441771,0.925758182
966.6732,8.5,9.4241,2.2863,110.2746,105.8652,0.345583,2.9872,13.6042,11.4054,6.4874,-280.1845,36.9238,1020.0192,928.8859356,0.833912727
966.8256,8.5,9.5214,2.2859,110.3145,106.1796,0.347198,3.0106,13.699,11.451,6.5532,-279.7346,36.9256,1019.0444,929.0276936,0.839629091
966.978,8.5,9.562,2.2856,110.2557,107.6701,0.362793,3.0635,13.5543,11.3153,6.5768,-279.2348,36.9275,1026.0105,929.1694509,0.866729091
967.1304,8.5,9.5946,2.288,110.0202,108.8367,0.379197,3.0601,13.2903,11.1067,6.5834,-278.7214,36.9293,1031.9662,929.3112078,0.88794
967.2828,8.5,9.5814,2.2998,109.6964,111.1498,0.365023,3.0315,13.2877,11.1293,6.6795,-278.1667,36.9311,1032.694,929.4529641,0.929996364
967.4352,8.5,9.4206,2.314,109.3557,111.7574,0.341741,3.0285,13.5719,11.3965,6.8382,-277.5427,36.9329,1026.9193,929.5947198,0.941043636
967.5876,8.5,9.1469,2.3178,108.8709,110.7952,0.343561,3.0459,13.7081,11.5431,6.8962,-276.8301,36.9347,1019.9231,929.736475,0.923549091
967.74,8.5,8.9679,2.3211,108.3584,110.7776,0.35492,3.0656,14.2691,12.0297,7.1067,-276.1003,36.9366,1016.3068,929.8782297,0.923229091
967.8924,8.5,8.8366,2.3245,108.0519,114.3114,0.355153,3.0696,15.2243,12.8274,7.4814,-275.4788,36.9384,1022.7759,930.0199838,0.98748
968.0448,8.5,8.7104,2.3114,107.9203,114.559,0.347171,3.0563,15.1415,12.7383,7.472,-274.9714,36.9402,1035.6542,930.1617373,0.991981818
968.1972,8.5,8.619,2.2928,107.9581,110.3762,0.337406,3.0295,14.1671,11.863,7.1358,-274.5275,36.942,1036.7817,930.3034903,0.915930909
968.3496,8.5,8.5871,2.293,108.2379,110.8118,0.333289,2.995,13.9346,11.5758,7.1043,-274.0807,36.9438,1028.5291,930.4452428,0.923850909
968.502,8.5,8.5936,2.3026,108.5461,113.4542,0.334476,2.9895,14.2097,11.7379,7.2504,-273.6241,36.9457,1026.4977,930.5869947,0.971894545
968.6544,8.5,8.5816,2.3068,108.7179,110.8379,0.331759,3.0156,14.202,11.7102,7.2585,-273.2783,36.9475,1027.381,930.728746,0.924325455
968.8068,8.5,8.55,2.3074,108.5182,107.013,0.321327,3.0102,13.9301,11.4971,7.1699,-272.9233,36.9493,1022.4682,930.8704969,0.854781818
