,DEPTH,CEMENT_FLAG,GR,GR_SHAPE,NEUT,RESD,TVD,V_mud,DTC,BS,CALI,DENS,Zone,Thickness,Lithofacies,Facies_code
15518,2741.5236,-999,76.9731,1,0.173,7.3968,2701.6454,0.3231,74.6331,8.5,9.2124,2.5355,CU,1.3711,2,2
15519,2741.676,-999,77.9674,1,0.1772,7.6673,2701.7978,0.3367,74.0472,8.5,9.1966,2.5406,FU,3.5039,2,3
15520,2741.8284,-999,78.9616,1,0.1815,7.9379,2701.9501,0.3503,73.4613,8.5,9.1808,2.5457,FU,3.5039,2,3
15521,2741.9808,-999,79.9558,1,0.1857,8.2085,2702.1025,0.3639,72.8753,8.5,9.1649,2.5508,FU,3.5039,2,3
15522,2742.1332,-999,77.4225,1,0.1757,7.9397,2702.2548,0.3307,73.3012,8.5,9.1772,2.5446,FU,3.5039,2,3
15523,2742.2856,-999,74.3807,1,0.1638,7.5933,2702.4072,0.2908,73.8728,8.5,9.1935,2.5367,FU,3.5039,2,3
15524,2742.438,-999,71.339,1,0.1518,7.2468,2702.5595,0.2508,74.4445,8.5,9.2099,2.5289,FU,3.5039,2,3
15525,2742.5904,-999,70.1884,1,0.1506,7.0313,2702.7118,0.236,75.2599,8.5,9.2095,2.529,FU,3.5039,2,3
15526,2742.7428,-999,70.3349,1,0.1569,6.9057,2702.8642,0.2384,76.2425,8.5,9.1977,2.5345,FU,3.5039,2,3
15527,2742.8952,-999,70.4813,1,0.1633,6.78,2703.0165,0.2408,77.2251,8.5,9.1858,2.54,FU,3.5039,2,3
15528,2743.0476,-999,69.8314,1,0.1681,6.8271,2703.1689,0.2327,77.4329,8.5,9.1808,2.5448,FU,3.5039,2,3
15529,2743.2,-999,67.4282,1,0.1697,7.2548,2703.3212,0.2014,75.9348,8.5,9.1909,2.5482,FU,3.5039,2,3
15530,2743.3524,-999,65.025,1,0.1712,7.6825,2703.4736,0.17,74.4367,8.5,9.201,2.5516,FU,3.5039,2,3
15531,2743.5048,-999,62.7445,1,0.1728,8.0847,2703.6259,0.1402,73.0054,8.5,9.2104,2.5542,FU,3.5039,2,3
15532,2743.6572,-999,64.239,1,0.1734,7.702,2703.7782,0.1599,73.6301,8.5,9.1998,2.5327,FU,3.5039,2,3
15533,2743.8096,-999,65.7334,1,0.174,7.3194,2703.9306,0.1796,74.2548,8.5,9.1892,2.5112,FU,3.5039,2,3
15534,2743.962,-999,67.2279,1,0.1746,6.9368,2704.0829,0.1993,74.8795,8.5,9.1786,2.4898,FU,3.5039,2,3
15535,2744.1144,-999,66.3673,1,0.1832,6.7203,2704.2353,0.1877,76.1701,8.5,9.1916,2.4779,FU,3.5039,2,3
15536,2744.2668,-999,64.7244,1,0.1944,6.559,2704.3876,0.1657,77.6818,8.5,9.2123,2.4693,FU,3.5039,2,3
15537,2744.4192,-999,63.0815,1,0.2056,6.3977,2704.54,0.1437,79.1935,8.5,9.2331,2.4606,FU,3.5039,2,3
15538,2744.5716,-999,62.8877,1,0.2091,6.3295,2704.6923,0.141,80.0164,8.5,9.2387,2.4596,FU,3.5039,2,3
15539,2744.724,-999,64.3291,1,0.204,6.3663,2704.8447,0.16,80.0619,8.5,9.2271,2.4672,FU,3.5039,2,3
15540,2744.8764,-999,65.7704,1,0.1989,6.4031,2704.997,0.179,80.1074,8.5,9.2155,2.4748,FU,3.5039,2,3
15541,2745.0288,-999,67.3122,1,0.1942,6.4714,2705.1493,0.1992,80.1766,8.5,9.2054,2.4799,FU,3.5039,2,3
15542,2745.1812,-999,69.285,1,0.1918,6.6753,2705.3017,0.2247,80.3475,8.5,9.2017,2.4739,FU,3.5039,2,3
15543,2745.3336,-999,71.2578,1,0.1894,6.8792,2705.454,0.2503,80.5183,8.5,9.1981,2.4679,FU,6.2461,1,3
